0, 1191016.0000,  0.0000, 1191016.0000
1, 1222941.4737, 4694.9226, 1222941.4737
2, 1254866.9474, 9389.8452, 1254866.9474
3, 1286792.4211, 14084.7678, 1286792.4211
4, 1318717.8947, 18779.6904, 1318717.8947
5, 1350643.3684, 23474.6130, 1350643.3684
6, 1382568.8421, 28169.5356, 1382568.8421
7, 1414494.3158, 32864.4582, 1414494.3158
8, 1446419.7895, 37644.4726, 1446419.7895
9, 1478345.2632, 49067.1515, 1478345.2632
10, 1510270.7368, 60489.8304, 1510270.7368
11, 1542196.2105, 71912.5093, 1542196.2105
12, 1574121.6842, 83335.1882, 1574121.6842
13, 1606047.1579, 94757.8671, 1606047.1579
14, 1637972.6316, 106709.2322, 1637972.6316
15, 1669898.1053, 120902.0854, 1669898.1053
16, 1701823.5789, 135094.9385, 1701823.5789
17, 1733749.0526, 149287.7917, 1733749.0526
18, 1765674.5263, 163480.6448, 1765674.5263
19, 1797600.0000, 182950.0000, 1797600.0000
